id,final_status,store_address_id,customer_id,courier_id,vertical,is_food,transport,number_of_assignments,total_real_distance,activation_time_local,last_courier_assigned_time,courier_started_order_local,courier_enters_pickup_time_local,pickup_time_local,courier_enters_delivery_point_time_local,termination_time,Count,Total Time,...20,...21,...22,...23,...24,...25
52356186,DeliveredStatus,85260,12155388,9558769,WALL - Partner,TRUE,MOTORBIKE,2,7.975,2019-07-08T18:49:04Z,2019-07-08T18:50:42Z,2019-07-08T18:50:55Z,2019-07-08T19:05:19Z,2019-07-08T19:08:37Z,2019-07-08T19:18:57Z,2019-07-08T19:21:17Z,NA,32,NA,NA,NA,NA,NA,NA
53423448,DeliveredStatus,18300,8870237,18633956,WALL - Partner,TRUE,BICYCLE,1,4.377,2019-07-14T20:54:41Z,2019-07-14T20:55:30Z,2019-07-14T20:56:05Z,2019-07-14T20:54:52Z,2019-07-14T21:06:35Z,2019-07-14T21:19:24Z,2019-07-14T21:24:14Z,NA,29,NA,NA,NA,NA,NA,NA
52835165,CanceledStatus,18300,6586374,14631671,WALL - Partner,TRUE,MOTORBIKE,1,4.975,2019-07-11T20:02:06Z,2019-07-11T20:02:24Z,2019-07-11T20:02:36Z,2019-07-11T20:07:15Z,2019-07-11T20:22:08Z,NA,2019-07-11T20:37:53Z,NA,35,NA,NA,NA,NA,NA,NA
52387772,DeliveredStatus,15927,3023059,13762181,WALL - Partner,TRUE,CAR,1,2.307,2019-07-08T21:13:04Z,2019-07-08T21:17:12Z,2019-07-08T21:17:49Z,2019-07-08T21:20:08Z,2019-07-08T21:26:24Z,2019-07-08T21:31:11Z,2019-07-08T21:35:11Z,NA,22,NA,NA,NA,NA,NA,NA
52411748,DeliveredStatus,15727,20338850,6212245,WALL - Partner,TRUE,MOTORBIKE,1,9.594,2019-07-08T23:12:00Z,2019-07-08T23:15:11Z,2019-07-08T23:15:15Z,2019-07-08T23:28:40Z,2019-07-08T23:31:09Z,2019-07-08T23:37:05Z,2019-07-08T23:37:56Z,NA,25,NA,NA,NA,NA,NA,NA
52412147,DeliveredStatus,15727,20338736,13762181,WALL - Partner,TRUE,CAR,1,16.527,2019-07-08T23:15:10Z,2019-07-08T23:28:25Z,2019-07-08T23:28:48Z,2019-07-08T23:40:26Z,2019-07-08T23:47:43Z,2019-07-08T23:53:05Z,2019-07-08T23:56:47Z,NA,41,NA,NA,NA,NA,NA,NA
52939312,DeliveredStatus,18300,5677486,17723174,WALL - Partner,TRUE,BICYCLE,1,4.398,2019-07-12T12:56:32Z,2019-07-12T13:00:32Z,2019-07-12T13:01:10Z,2019-07-12T13:01:13Z,2019-07-12T13:08:59Z,2019-07-12T13:24:29Z,2019-07-12T13:25:25Z,NA,28,NA,NA,NA,NA,NA,NA
52532100,DeliveredStatus,18300,20048313,19090355,WALL - Partner,TRUE,BICYCLE,2,5.699,2019-07-09T20:45:36Z,2019-07-09T21:04:56Z,2019-07-09T21:04:56Z,2019-07-09T20:45:40Z,2019-07-09T21:52:02Z,2019-07-09T21:57:51Z,2019-07-09T22:02:18Z,NA,16,NA,NA,NA,NA,NA,NA
52685393,DeliveredStatus,15727,9464090,6543753,WALL - Partner,TRUE,CAR,2,8.334,2019-07-10T20:35:33Z,2019-07-10T20:38:35Z,2019-07-10T20:38:35Z,2019-07-10T21:04:31Z,2019-07-10T21:18:40Z,2019-07-10T21:20:44Z,2019-07-10T21:21:56Z,NA,46,NA,NA,NA,NA,NA,NA
52999800,DeliveredStatus,18300,9124456,9128251,WALL - Partner,TRUE,MOTORBIKE,1,2.535,2019-07-12T19:28:29Z,2019-07-12T19:29:00Z,2019-07-12T19:29:17Z,2019-07-12T19:29:03Z,2019-07-12T19:33:55Z,2019-07-12T19:40:26Z,2019-07-12T19:43:50Z,NA,15,NA,NA,NA,NA,NA,NA
